ID,Age,Gender,GenderGroup,Glasses,GlassesGroup,Height,Wingspan,CWDistance,Complete,CompleteGroup,Score
1,56.0,F,1,Y,1,62.0,61.0,79,Y,1.0,7
2,26.0,F,1,Y,1,62.0,60.0,70,Y,1.0,8
3,33.0,F,1,Y,1,66.0,64.0,85,Y,1.0,7
4,39.0,F,1,N,0,64.0,63.0,87,Y,1.0,10
5,27.0,M,2,N,0,73.0,75.0,72,N,0.0,4
6,24.0,M,2,N,0,75.0,71.0,81,N,0.0,3
7,28.0,M,2,N,0,75.0,76.0,107,Y,1.0,10
8,22.0,F,1,N,0,65.0,62.0,98,Y,1.0,9
9,29.0,M,2,Y,1,74.0,73.0,106,N,0.0,5
10,33.0,F,1,Y,1,63.0,60.0,65,Y,1.0,8
11,30.0,M,2,Y,1,69.5,66.0,96,Y,1.0,6
12,28.0,F,1,Y,1,62.75,58.0,79,Y,1.0,10
13,25.0,F,1,Y,1,65.0,64.5,92,Y,1.0,6
14,23.0,F,1,N,0,61.5,57.5,66,Y,1.0,4
15,31.0,M,2,Y,1,73.0,74.0,72,Y,1.0,9
16,26.0,M,2,Y,1,71.0,72.0,115,Y,1.0,6
17,26.0,F,1,N,0,61.5,59.5,90,N,0.0,10
18,27.0,M,2,N,0,66.0,66.0,74,Y,1.0,5
19,23.0,M,2,Y,1,70.0,69.0,64,Y,1.0,3
20,24.0,F,1,Y,1,68.0,66.0,85,Y,1.0,8
21,23.0,M,2,Y,1,69.0,67.0,66,N,0.0,2
22,29.0,M,2,N,0,71.0,70.0,101,Y,1.0,8
23,25.0,M,2,N,0,70.0,68.0,82,Y,1.0,4
24,26.0,M,2,N,0,69.0,71.0,63,Y,1.0,5
25,23.0,F,1,Y,1,65.0,63.0,67,N,0.0,3
26,28.0,M,2,N,0,75.0,76.0,111,Y,1.0,10
27,24.0,M,2,N,0,78.4,71.0,92,Y,1.0,7
28,25.0,M,2,Y,1,76.0,73.0,107,Y,1.0,8
29,32.0,F,1,Y,1,63.0,60.0,75,Y,1.0,8
30,38.0,F,1,Y,1,61.5,61.0,78,Y,1.0,7
31,27.0,F,1,Y,1,62.0,60.0,72,Y,1.0,8
32,33.0,F,1,Y,1,65.3,64.0,91,Y,1.0,7
33,38.0,F,1,N,0,64.0,63.0,86,Y,1.0,10
34,27.0,M,2,N,0,77.0,75.0,100,Y,1.0,8
35,24.0,F,1,N,0,67.8,62.0,98,Y,1.0,9
36,27.0,M,2,N,0,68.0,66.0,74,Y,1.0,5
37,25.0,F,1,Y,1,65.0,64.5,92,Y,1.0,6
38,26.0,F,1,N,0,61.5,59.5,90,Y,1.0,9
39,31.0,M,2,Y,1,73.0,74.0,72,Y,1.0,9
40,30.0,M,2,Y,1,69.5,66.0,96,Y,1.0,6
41,23.0,F,1,N,0,70.4,71.0,66,Y,1.0,4
42,26.0,M,2,Y,1,73.5,72.0,115,Y,1.0,6
43,28.0,F,1,Y,1,72.5,72.0,81,Y,1.0,10
44,26.0,F,1,Y,1,72.0,72.0,92,Y,1.0,8
45,30.0,F,1,Y,1,66.0,64.0,85,Y,1.0,7
46,39.0,F,1,N,0,64.0,63.0,87,Y,1.0,10
47,27.0,M,2,N,0,78.0,75.0,72,N,0.0,7
48,24.0,M,2,N,0,79.5,75.0,82,N,0.0,8
49,28.0,M,2,N,0,77.8,76.0,99,Y,1.0,9
