,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ID,Age,Gender,GenderGroup,Glasses,GlassesGroup,Height,Wingspan,CWDistance,Complete,CompleteGroup,Score
0,0,0,0,0,0,0,0,0,1,56.0,F,1,Y,1,62.0,61.0,79,Y,1.0,7
1,1,1,1,1,1,1,1,1,2,26.0,F,1,Y,1,62.0,60.0,70,Y,1.0,8
2,2,2,2,2,2,2,2,2,3,33.0,F,1,Y,1,66.0,64.0,85,Y,1.0,7
3,3,3,3,3,3,3,3,3,4,39.0,F,1,N,0,64.0,63.0,87,Y,1.0,10
4,4,4,4,4,4,4,4,4,5,27.0,M,2,N,0,73.0,75.0,72,N,0.0,4
5,5,5,5,5,5,5,5,5,6,24.0,M,2,N,0,75.0,71.0,81,N,0.0,3
6,6,6,6,6,6,6,6,6,7,28.0,M,2,N,0,75.0,76.0,107,Y,1.0,10
7,7,7,7,7,7,7,7,7,8,22.0,F,1,N,0,65.0,62.0,98,Y,1.0,9
8,8,8,8,8,8,8,8,8,9,29.0,M,2,Y,1,74.0,73.0,106,N,0.0,5
9,9,9,9,9,9,9,9,9,10,33.0,F,1,Y,1,63.0,60.0,65,Y,1.0,8
10,10,10,10,10,10,10,10,10,11,30.0,M,2,Y,1,69.5,66.0,96,Y,1.0,6
11,11,11,11,11,11,11,11,11,12,28.0,F,1,Y,1,62.75,58.0,79,Y,1.0,10
12,12,12,12,12,12,12,12,12,13,25.0,F,1,Y,1,65.0,64.5,92,Y,1.0,6
13,13,13,13,13,13,13,13,13,14,23.0,F,1,N,0,61.5,57.5,66,Y,1.0,4
14,14,14,14,14,14,14,14,14,15,31.0,M,2,Y,1,73.0,74.0,72,Y,1.0,9
15,15,15,15,15,15,15,15,15,16,26.0,M,2,Y,1,71.0,72.0,115,Y,1.0,6
16,16,16,16,16,16,16,16,16,17,26.0,F,1,N,0,61.5,59.5,90,N,0.0,10
17,17,17,17,17,17,17,17,17,18,27.0,M,2,N,0,66.0,66.0,74,Y,1.0,5
18,18,18,18,18,18,18,18,18,19,23.0,M,2,Y,1,70.0,69.0,64,Y,1.0,3
19,19,19,19,19,19,19,19,19,20,24.0,F,1,Y,1,68.0,66.0,85,Y,1.0,8
20,20,20,20,20,20,20,20,20,21,23.0,M,2,Y,1,69.0,67.0,66,N,0.0,2
21,21,21,21,21,21,21,21,21,22,29.0,M,2,N,0,71.0,70.0,101,Y,1.0,8
22,22,22,22,22,22,22,22,22,23,25.0,M,2,N,0,70.0,68.0,82,Y,1.0,4
23,23,23,23,23,23,23,23,23,24,26.0,M,2,N,0,69.0,71.0,63,Y,1.0,5
24,24,24,24,24,24,24,24,24,25,23.0,F,1,Y,1,65.0,63.0,67,N,0.0,3
25,25,25,25,25,25,25,25,25,26,28.0,M,2,N,0,75.0,76.0,111,Y,1.0,10
26,26,26,26,26,26,26,26,26,27,24.0,M,2,N,0,78.4,71.0,92,Y,1.0,7
27,27,27,27,27,27,27,27,27,28,25.0,M,2,Y,1,76.0,73.0,107,Y,1.0,8
28,28,28,28,28,28,28,28,28,29,32.0,F,1,Y,1,63.0,60.0,75,Y,1.0,8
29,29,29,29,29,29,29,29,29,30,38.0,F,1,Y,1,61.5,61.0,78,Y,1.0,7
30,30,30,30,30,30,30,30,30,31,27.0,F,1,Y,1,62.0,60.0,72,Y,1.0,8
31,31,31,31,31,31,31,31,31,32,33.0,F,1,Y,1,65.3,64.0,91,Y,1.0,7
32,32,32,32,32,32,32,32,32,33,38.0,F,1,N,0,64.0,63.0,86,Y,1.0,10
33,33,33,33,33,33,33,33,33,34,27.0,M,2,N,0,77.0,75.0,100,Y,1.0,8
34,34,34,34,34,34,34,34,34,35,24.0,F,1,N,0,67.8,62.0,98,Y,1.0,9
35,35,35,35,35,35,35,35,35,36,27.0,M,2,N,0,68.0,66.0,74,Y,1.0,5
36,36,36,36,36,36,36,36,36,37,25.0,F,1,Y,1,65.0,64.5,92,Y,1.0,6
37,37,37,37,37,37,37,37,37,38,26.0,F,1,N,0,61.5,59.5,90,Y,1.0,9
38,38,38,38,38,38,38,38,38,39,31.0,M,2,Y,1,73.0,74.0,72,Y,1.0,9
39,39,39,39,39,39,39,39,39,40,30.0,M,2,Y,1,69.5,66.0,96,Y,1.0,6
40,40,40,40,40,40,40,40,40,41,23.0,F,1,N,0,70.4,71.0,66,Y,1.0,4
41,41,41,41,41,41,41,41,41,42,26.0,M,2,Y,1,73.5,72.0,115,Y,1.0,6
42,42,42,42,42,42,42,42,42,43,28.0,F,1,Y,1,72.5,72.0,81,Y,1.0,10
43,43,43,43,43,43,43,43,43,44,26.0,F,1,Y,1,72.0,72.0,92,Y,1.0,8
44,44,44,44,44,44,44,44,44,45,30.0,F,1,Y,1,66.0,64.0,85,Y,1.0,7
